0,0,B
0,1,B
0,2,K
0,3,K
0,4,B
0,5,B
0,6,B
0,7,B
0,8,K
0,9,K
1,0,K
1,1,B
1,2,K
1,3,K
1,4,B
1,5,K
1,6,B
1,7,B
1,8,K
1,9,K
2,0,K
2,1,B
2,2,B
2,3,K
2,4,K
2,5,B
2,6,B
2,7,K
2,8,B
2,9,K
3,0,K
3,1,K
3,2,B
3,3,B
3,4,B
3,5,K
3,6,K
3,7,B
3,8,B
3,9,K
4,0,K
4,1,B
4,2,K
4,3,K
4,4,B
4,5,B
4,6,K
4,7,K
4,8,K
4,9,K
5,0,B
5,1,K
5,2,B
5,3,B
5,4,K
5,5,K
5,6,B
5,7,K
5,8,K
5,9,K
6,0,B
6,1,B
6,2,K
6,3,B
6,4,B
6,5,K
6,6,B
6,7,B
6,8,K
6,9,K
7,0,K
7,1,B
7,2,B
7,3,K
7,4,K
7,5,K
7,6,B
7,7,B
7,8,K
7,9,K
8,0,B
8,1,B
8,2,B
8,3,K
8,4,K
8,5,B
8,6,B
8,7,B
8,8,K
8,9,K
9,0,K
9,1,K
9,2,B
9,3,B
9,4,K
9,5,B
9,6,K
9,7,B
9,8,K
9,9,K
