0,0,B
0,1,B
0,2,B
0,3,K
0,4,B
0,5,B
0,6,K
0,7,K
0,8,B
0,9,B
0,10,B
0,11,B
0,12,B
0,13,K
0,14,K
0,15,K
0,16,B
0,17,B
0,18,B
0,19,K
0,20,K
0,21,K
0,22,B
0,23,B
0,24,B
1,0,B
1,1,B
1,2,B
1,3,B
1,4,B
1,5,K
1,6,B
1,7,B
1,8,K
1,9,B
1,10,B
1,11,B
1,12,B
1,13,K
1,14,B
1,15,B
1,16,K
1,17,B
1,18,K
1,19,B
1,20,K
1,21,B
1,22,B
1,23,K
1,24,K
2,0,K
2,1,K
2,2,B
2,3,B
2,4,K
2,5,K
2,6,K
2,7,K
2,8,B
2,9,K
2,10,K
2,11,K
2,12,K
2,13,K
2,14,B
2,15,B
2,16,B
2,17,B
2,18,B
2,19,K
2,20,B
2,21,K
2,22,B
2,23,B
2,24,B
3,0,B
3,1,B
3,2,B
3,3,K
3,4,B
3,5,B
3,6,K
3,7,K
3,8,B
3,9,K
3,10,K
3,11,K
3,12,B
3,13,B
3,14,B
3,15,K
3,16,K
3,17,B
3,18,B
3,19,K
3,20,K
3,21,B
3,22,K
3,23,K
3,24,B
4,0,B
4,1,K
4,2,B
4,3,B
4,4,K
4,5,B
4,6,B
4,7,B
4,8,B
4,9,K
4,10,K
4,11,K
4,12,B
4,13,K
4,14,K
4,15,B
4,16,B
4,17,B
4,18,K
4,19,K
4,20,B
4,21,B
4,22,K
4,23,B
4,24,K
5,0,B
5,1,B
5,2,B
5,3,K
5,4,K
5,5,K
5,6,B
5,7,B
5,8,B
5,9,B
5,10,K
5,11,B
5,12,B
5,13,B
5,14,K
5,15,K
5,16,K
5,17,B
5,18,K
5,19,B
5,20,B
5,21,K
5,22,K
5,23,K
5,24,K
6,0,K
6,1,B
6,2,B
6,3,B
6,4,K
6,5,B
6,6,B
6,7,B
6,8,B
6,9,K
6,10,K
6,11,B
6,12,B
6,13,K
6,14,K
6,15,B
6,16,B
6,17,B
6,18,B
6,19,K
6,20,K
6,21,B
6,22,B
6,23,B
6,24,K
7,0,K
7,1,B
7,2,K
7,3,B
7,4,K
7,5,K
7,6,K
7,7,K
7,8,B
7,9,B
7,10,B
7,11,K
7,12,K
7,13,B
7,14,B
7,15,B
7,16,B
7,17,B
7,18,K
7,19,B
7,20,K
7,21,B
7,22,B
